,Date,Open,High,Low,Close,Crypto
3603,2021-04-16,63381.0,63769.0,60081.0,61962.0,BTC
3604,2021-04-16,2498.19,2548.39,2335.38,2460.83,ETH
3605,2021-04-16,286.98,316.7,267.8,309.41,LTC
3606,2021-04-17,61977.0,62490.0,59747.0,60843.0,BTC
3607,2021-04-17,2460.84,2496.82,2318.08,2390.93,ETH
3608,2021-04-17,310.2,335.25,297.5,314.3,LTC
3609,2021-04-18,60843.0,60966.0,51907.0,56239.0,BTC
3610,2021-04-18,2390.67,2396.05,1976.71,2226.09,ETH
3611,2021-04-18,313.71,321.71,233.86,273.51,LTC
3612,2021-04-19,56231.0,57554.0,54305.0,56175.0,BTC
3613,2021-04-19,2229.05,2279.28,2084.37,2206.66,ETH
3614,2021-04-19,273.65,282.29,251.38,270.46,LTC
3615,2021-04-20,56175.0,57035.0,53463.0,56852.0,BTC
3616,2021-04-20,2208.95,2330.5,2055.36,2307.28,ETH
3617,2021-04-20,271.71,272.72,234.73,266.72,LTC
3618,2021-04-21,56781.0,57079.0,54346.0,55029.0,BTC
3619,2021-04-21,2309.4,2467.23,2237.91,2405.01,ETH
3620,2021-04-21,266.76,276.71,251.3,265.08,LTC
3621,2021-04-22,55029.0,55410.0,51515.0,51843.0,BTC
3622,2021-04-22,2408.09,2643.3,2315.24,2408.0,ETH
3623,2021-04-22,266.11,289.44,251.95,257.7,LTC
3624,2021-04-23,51597.0,52220.0,47657.0,50620.0,BTC
3625,2021-04-23,2400.0,2447.35,2117.03,2323.83,ETH
3626,2021-04-23,255.5,259.2,211.85,235.65,LTC
3627,2021-04-24,50556.0,51215.0,48821.0,50955.0,BTC
3628,2021-04-24,2324.98,2370.26,2162.01,2295.99,ETH
3629,2021-04-24,236.03,241.59,221.11,231.16,LTC
3630,2021-04-25,50955.0,51113.0,48075.0,48075.0,BTC
3631,2021-04-25,2298.15,2355.54,2166.72,2214.89,ETH
3632,2021-04-25,231.78,235.76,217.89,218.83,LTC
3633,2021-04-26,48065.0,54363.0,47110.0,53297.0,BTC
3634,2021-04-26,2209.0,2531.25,2180.0,2463.0,ETH
3635,2021-04-26,217.79,248.34,211.88,240.62,LTC
3636,2021-04-27,53297.0,55289.0,52689.0,55067.0,BTC
3637,2021-04-27,2458.3,2680.29,2431.6,2649.25,ETH
3638,2021-04-27,240.33,263.04,237.56,261.16,LTC
3639,2021-04-28,55180.0,56369.0,53913.0,54456.0,BTC
3640,2021-04-28,2646.0,2748.0,2564.4,2708.01,ETH
3641,2021-04-28,260.23,266.74,248.43,253.28,LTC
3642,2021-04-29,54456.0,55191.0,52408.0,53006.0,BTC
3643,2021-04-29,2711.17,2799.99,2675.41,2712.8,ETH
3644,2021-04-29,253.28,262.86,248.96,250.85,LTC
3645,2021-04-30,52991.0,57295.0,52871.0,56803.0,BTC
3646,2021-04-30,2709.0,2799.0,2702.31,2763.92,ETH
3647,2021-04-30,250.85,271.09,250.11,266.52,LTC
3648,2021-05-01,56812.0,58459.0,56726.0,57700.0,BTC
3649,2021-05-01,2763.92,2951.0,2743.26,2949.51,ETH
3650,2021-05-01,266.68,274.99,265.08,273.0,LTC
3651,2021-05-02,57685.0,57948.0,56130.0,57016.0,BTC
3652,2021-05-02,2950.19,2976.97,2858.0,2969.0,ETH
3653,2021-05-02,273.13,278.34,265.23,271.07,LTC
3654,2021-05-03,57016.0,58973.0,56306.0,56826.0,BTC
3655,2021-05-03,2969.0,3339.24,2936.4,3288.0,ETH
3656,2021-05-03,271.07,299.7,267.26,290.18,LTC
3657,2021-05-04,56821.0,57465.0,53330.0,54842.0,BTC
3658,2021-05-04,3287.57,3492.19,3195.07,3409.65,ETH
3659,2021-05-04,289.85,325.54,274.29,314.84,LTC
3660,2021-05-05,54842.0,57909.0,53058.0,56854.0,BTC
3661,2021-05-05,3405.35,3484.01,3215.17,3467.44,ETH
3662,2021-05-05,316.07,359.97,301.42,347.75,LTC
3663,2021-05-06,56863.0,58334.0,55427.0,55987.0,BTC
3664,2021-05-06,3464.45,3607.59,3382.27,3467.85,ETH
3665,2021-05-06,347.75,364.71,323.32,329.26,LTC
3666,2021-05-07,55987.0,58683.0,55350.0,57699.0,BTC
3667,2021-05-07,3468.09,3588.14,3366.78,3501.77,ETH
3668,2021-05-07,329.4,372.7,329.4,348.97,LTC
3669,2021-05-08,57713.0,59556.0,56915.0,59014.0,BTC
3670,2021-05-08,3501.75,3863.54,3431.03,3852.0,ETH
3671,2021-05-08,348.97,356.67,334.02,345.93,LTC
